term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verzender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sender,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,afsender,,,,,,,,sendanto,,remitente,,,,,,,,,,,,,,,,فرستنده,,,,,,,,,,,,pošiljatelj,,,,,,,,,,mittente,,送り主,,გამგზავნი,,,,,,,,,,,,mittens mittentis,,,,,,,,,,,,,,,,,,,,,,verzender,,,,nadawca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gönderici,,,,адресант,,,,,,,,,,,,,,,,发送者,,,,付款人,,,
sending address,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
show,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signature,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,signatur,,,,,,,,subskribo,,firma,,,,,,,,,,,,,,,,امضا,,,,,,,,חתימה,,,,potpis,,,,,,,,,,firma,,署名,,ხელმოწერა,,,,,,,,,,,,signatio signationis (f.),,,,,,,,,,,,,,,,,,,,,,handtekening,,,,podpis,,,,,,,semnătură,,,,,,,,,,,,,,,,,,,signatur,,,,,,సంతకం,,,,imza,,,,підпис,,,,,,,,,,,,,,,,签名,,,,簽章,,,
size,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,velikost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smaller,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specified,Adjective,,,,gespesifiseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specify,Verb,,,,spesifiseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spend,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,spendere,,,,,,,,elspezi,,gastar,,,,,,,,,,,,,,,,,,,,,,,,,,,,trošiti,,,,,,,,,,spendere,,,,"ხარჯვა, გატარება",,,,,,,,,,,,"transmittere transmisisse transmissum, solvere solvisse solutum (e.g. mercedem solvere)",,,,,,,,,,,,,,,,,,,,,,geef uit,,,,wydać,,,,,,,cheltuie,,,,,,,,,,,,,,,,,,,spendera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花用,花,,
split wallet,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,porte-monnaie divisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
startup,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הפעלה,,,,pokrenuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uruchamiać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,起動,,,
support,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prise en charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synchronizing,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,system,,,,,,,,sistemo,,sistema,,,,,,,,,,,,,,,,سیستم,,,,,,,,מערכת,,,,sustav,,,,,,,,,,sistema,,システム,,სისტემა,,,,,,,,,,,,systema systematis (n.),,,,,,,,,,,,,,,,,,,,,,systeem,,,,system,,,,,,,sistem,,,,,,,,,,,,,,,,,,,system,,,,,,సిస్టం,,,,,,,,система,,,,,,,,,,,,,,,,,,,,系統,,,
system tray,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bandeja del sistema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,システムトレイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,systeembalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testnet,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,,,,,רשת הבדיקה,,,,,,,,,,,,,,,,テストネット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the wallet,Noun,,,,,,,,المحفظة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
their wallet,Noun,,,,,,,,محفظتهم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this change,Verb,,,,,,,,هذا التغيير,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threshold,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to type,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toolbar,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,værktøjslinje,,,,,,,,ilobreto,,Barra de herramientas,,,,,,,,,,,,,,,,,,,,,,,,סרגל כלים,,,,alatna traka,,,,,,,,,,,,ツールバー,,პანელი,,,,,,,,,,,,tabella instrumentorum,,,,,,,,,,,,,,,,,,,,,,werkbalk,,,,pasek narzędzi,,,,,,,bară de instrumente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,工具列,,,
tooltip,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,værktøjstip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,提示,,,
total,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עסקה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transaktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction fee,Noun,,,, transaksie fooi,,,,,,,,,,,,,,,,,,,,,,,,transaktionsgebyr,,Transaktionsgebühr,,,,,,,,comisión por transacción,,,,,,,,,,,,,,,,,,,,,,,,עמלת עסקה,,,,,,,,,,,,,,,,,,ტრანსაქციის საკომისიო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transactievergoeding,"""transactiekosten"" is less depending on a correct context, and easier to understand",,,opłata transakcyjna,,,,,,,taxă de tranzacție,,,,,,,,,provizija,,,,,,,,,,transaktionsavgift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction fee,Pronoun,,,, transaksie fooi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comisión por transacción,,,,,,,,,,,,,,,,,,,,,,,,עמלת עסקה,,,,,,,,,,,,,,,,,,ტრანზაქციის საკომისიო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transactievergoeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transactions,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,Noun,short for Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,transaktion,,Transaktion,,,,,,,,tx,"short for ""Transacción"". tx may be a good choice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,లావాదేవీ,,,,,,,,,,,,,,,,,,,,,,,,,,,,交易,,,
unencrypted,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא מוצפן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unlock,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,låse op,,,,,,,,malŝlosi,,desbloquear,,,,,,,,,,,,,,,,,,,,,,,,פתיחה,,,,otključati,,,,,,,,,,sbloccare,,アンロック,,განბლოკვა,,,,,,,,,,,,reserare reseravisse reseratum,,,,,,,,,,,,,,,,,,,,,,ontgrendel,,,,odblokować,,,,,,,deblochează,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kilidi açmak,,,,,,,,,,,,,,,,,,,,,,,,解鎖,,,
usage,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,brug,,,,,,,,uzo,,uso,,,,,,,,,,,,,,,,کاربرد,,,,,,,,שימוש,,,,uporaba,,,,,,,,,,,,,,გამოყენება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gebruik,,,,stosowanie,,,,,,,folosire,,,,,,,,,,,,,,,,,,,användning,,,,,,వాడుక,,,,,,,,використання,,,,,,,,,,,,,,,,,,,,用法,,,
valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,válida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valid,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,gyldig,,,,,,,,valida,,válido,"Depende del contexto.
Se puede traducir como: válido, válida.",,,,,,,,,,,,,,,,,,,,,,,תקני,,,,važeći,,,,,,,,,,,,,,"დაშვებული, ხელმისაწვდომი",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geldig,,,,ważny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,చెల్లదగ్గ,,,,geçerli,,,,вірний,,,,,,,,,,,,,,,,,,,,有效,,,
vary,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,verificere,,,,,,,,kontroli,,verificar,,,,,,,,,,,,,,,,تایید کردن,,,,,,,,,,,,ovjeriti,,,,,,,,,,verificare,,検証する,,შემოწმება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,controleren,,,,weryfikacja,,,,,,,verifică,,,,,,,,,,,,,,,,,,,verifiera,,,,,,ధృవీకరించు,,,,onayla,,,,,,,,,,,,,,,,,,,,,,,,驗證,,,
via,,,,,,,,,,,,,,,,,,,,,,,,,,,,,via,,,,,,,,,,,,,,,,,,,,,,,,,,با کمک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,via,,,,przez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ద్వారా,,,,üzerinden,,,,,,,,,,,,,,,,,,,,,,,,介由,,,
virtual size,Noun,transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,擬真大小,Virtual 有接近真實但又不是，或是表面不是但實際上卻是的兩種意思，因此有虛擬和實質兩種好像完全相反的翻譯。這裡 transaction 的 virtual size 是指 transaction 資料結構本身的大小，加上 transaction 對應 witness 的大小。因為 witness 並不是原本  Bitcoin 所定義的 transaction 資料結構的一部分，但卻是交易實質內容的一部分，因此 virtual 在這裡有「不是又是」的意義。這裡選用擬真一詞希望能傳達這種意思。,,
visible,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,кошелька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallet,Noun,,,,,,,,محفظة,,,,,,,,,,,,cartera,,,,,,,,tegnebog,,,Aktuell erneut unklar ob das/die Wallet/Brieftasche - siehe https://www.transifex.com/bitcoin/teams/159/discussions/17915/,,,,,monujo,,monedero,,,,,,,,,,,,,,,,کیف پول,,,,,,porte-monnaie,Invariable au pluriel.,ארנק,,,,novčanik,,,,,,,,,,portafoglio,,ウォレット,,საფულე,,,,,,,,,,,,cassidile cassidilis (n.),,,,,,,,,,,,,,,,,,,,,,portemonnee,,,,portfel,,,,,,,portofel,кошелёк,"Кто-то систематически заменил ""кошелёк"" на ""бумажник"", по-моему, не самый удачный перевод. Кроме того, ""кошелёк"" уже более-менее устоялось. Это где-то обсуждалось? Какие доводы?
-----
http://translate.google.ru/?source=osdd#auto/ru/wallet также, в словарях StarDict нигде это слово не переводится как «кошелёк». Сравни с purse.",,,,,,,,,,,,,,,,,plånbok,,,,,,జోలె,,,,cüzdan,,,,гаманець,,,,,,,,,,,,,,,,,,,,錢包,錢包檔案,,
wallet,Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,кошельков,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallet directory,Noun,,,,,,,,,,,,,,,,,,,,directori de carteres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warning,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,advarsel,,,,,,,,averto,,advertencia,,,,,,,,,,,,,,,,هشدار,,,,,,,,אזהרה,,,,upozorenje,,,,,,,,,,attenzione,,警告,,"ყურადღება, გაფრთხილება",,,,,,,,,,,,attentio attentionis (f.),,,,,,,,,,,,,,,,,,,,,,waarschuwing,,,,ostrzeżenie,,,,,,,atenționare,,,,,,,,,,,,,,,,,,,varning,,,,,,హెచ్చరిక,,,,uyarı,,,,,,,,,,,,,,,,,,,,,,,,警告,,,
watch-only,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juste-regarder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alleen-lezen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watch-only,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juste-regarder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week,Noun,,,,week,,,,,,,,,,,,,,,,setmana,,,,,,,,,,,,,,,,,,semana,,,,,,,,,,,,,,,,,,,,,,,,שבוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vecka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks,Noun,,,,weke,,,,,,,,,,,,,,,,setmanes,,,,,,,,,,,,,,,,,,semanas,,,,,,,,,,,,,,,,,,,,,,,,שבועות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,veckor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,Noun,,,,,,,,,,,,,,,,,,,,finestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,Noun,,,,jaar,,,,,,,,,,,,,,,,anys,,,,,,,,,,,,,,,,,,año,,,,,,,,,,,,,,,,,,,,,,,,שנה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaar,,,,,,,,,,,,год,,,,,,,,,,,,,,,,,,år,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
years,Noun,,,,jare,,,,,,,,,,,,,,,,anys,,,,,,,,,,,,,,,,,,año,,,,,,,,,,,,,,,,,,,,,,,,שנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,år,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
​show,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
